Name;Art;Longitude;Latitude;Link
Annathra;Grossstadt;-48.183275;-3.358503;
Bath Hammin;Grossstadt_Karte;-53.479728;-6.205474;
Chattamang;Grossstadt;-47.314020;2.636592;
Colarba;Grossstadt;-58.443917;11.158986;
Gambun;Grossstadt;-41.928915;0.928915;
Gorabor;Grossstadt;-51.257723;-4.462721;
Jarushanga;Grossstadt;-44.044021;1.510231;
Kamakuwar;Grossstadt;-52.706553;-5.327985;
Kerrish Marad;Grossstadt;-44.782360;-16.079761;
Kerrish-Gasur;Grossstadt;-47.966268;-17.602613;
Kerrish-Tussan;Grossstadt;-50.032441;-18.552514;
Lanagar;Grossstadt;-45.928949;-2.312411;
Louamar;Grossstadt;-55.919938;6.747201;
Mahanda Meka;Grossstadt;-49.036510;-5.636257;
Mahenanda;Grossstadt;-45.478039;-6.440885;
Malrhira;Grossstadt;-46.936010;1.325362;
Manossos;Grossstadt;-57.958644;13.711094;
Nandramukti;Grossstadt;-43.817917;0.486645;
Shanali;Grossstadt;-54.132385;-0.188961;
Sharapur;Grossstadt;-46.505336;0.578913;
Sidor Barava;Grossstadt;-39.178181;7.067635;
Stadt am Allaguratta;Grossstadt;-43.432920;2.632562;
Stadt auf Yil'Araphaar 1;Grossstadt;-53.246329;-17.413669;
Stadt auf Yil'Araphaar 2;Grossstadt;-56.108590;-18.568520;
Stadt auf Yil'Araphaar 3;Grossstadt;-51.528124;-22.829223;
Stadt auf Yil'Araphaar 4;Grossstadt;-55.035383;-23.723462;
Stadt auf Yil'Dabuu;Grossstadt;-42.783415;-23.0852592;
Stadt auf Yil'Shikaar 1;Grossstadt;-54.166226;-25.383642;
Stadt auf Yil'Shikaar 2;Grossstadt;-56.998011;-26.658719;
Stadt auf Yil'Shikaar 3;Grossstadt;-55.467801;-27.965713;
Stadt auf Yil'Umesh 1;Grossstadt;-50.146784;-23.628848;
Stadt auf Yil'Umesh 2;Grossstadt;-50.852217;-24.285971;
Stadt südlich der Brillantsteine 1;Grossstadt;-53.075847;-15.872090;
Stadt südlich der Brillantsteine 2;Grossstadt;-50.008581;-16.882933;
Sulas;Grossstadt;-45.720994;-1.159842;
Thespia;Grossstadt;-59.086723;13.342943;
Uratha Pur;Grossstadt;-46.186076;1.447274;
Valdur Makala;Grossstadt;-42.627796;-7.287446;
Valdur Sucarra;Grossstadt;-51.791624;10.103990;
Vicolias;Grossstadt;-53.066743;6.156823;
Vinerata;Grossstadt;-57.982003;8.011106;
Elenvina;Grossstadt_Karte;-1.279374;27.537121;
Andergast;Grossstadt_Karte;-1.144097;32.093194;
Nostria;Grossstadt_Karte;-3.011249;30.043855;
Khezzara;Grossstadt_Karte;-0.070948;33.784141;
Yal-Kalabeth;Grossstadt_Rakshazar;53.7194545498204;31.28409728288117;
Amhas;Grossstadt_Rakshazar;41.20878782551546;37.59526815672098;
Teruldan;Grossstadt_Rakshazar;51.95938085383546;37.38969876871943;
Mornfest;Grossstadt_Rakshazar;18.77319637432676;40.82125387804457;
Mendena;Grossstadt_Karte;10.11079695707522;31.07343438280993;
Warunk;Grossstadt_Karte;7.827036980281155;30.60528611111111;
Beilunk;Grossstadt_Karte;7.911824273361954;29.81619791140195;
Lowangen;Grossstadt_Karte;2.280450;33.668961;
Thorwal;Grossstadt_Karte;-4.125619357846855;32.73728743535767;Thorwal (Stadt)
Trallop;Grossstadt_Karte;5.049742282751788;33.65217656739488;
Honingen;Stadt_Karte;-.678788;29.645314;
Winhall;Stadt_Karte;-.913675;30.569775;
Al'Muktur;Stadt;2.097802318818711;26.95870468865002;
Madasee;Stadt;2.377175419115218;27.00143003381028;Madasee (Stadt)
Omlad;Stadt_Karte;1.858961;26.501527;
Ragath;Stadt_Karte;2.595043966160986;27.72322949942273;
Taladur;Stadt_Karte;2.220119379909293;27.46258208474052;
Weinbergen;Stadt;1.296644401336029;26.45719327590236;
Barbrück;Stadt;6.797807;26.743887;
Llanka;Stadt;8.639495;27.815763;
Mendlicum;Stadt;6.606566;28.235050;
Nasir Malkid;Stadt;6.420052;26.059528;
Palmyrabad;Stadt;5.493323;27.445773;
Yaisirabad;Stadt;8.255903;27.895422;
Yerkesh;Stadt;6.330739;26.903599;
Brinbaum;Stadt;11.042900;35.646239;
Firunen;Stadt_Karte;9.665847;35.197437;
Neersand;Stadt_Karte;11.178739;34.274903;
Norburg;Stadt_Karte;8.342986;36.445603;
Notmark;Stadt_Karte;12.328424;37.014829;
Ouvenmas;Stadt_Karte;11.292706;36.467365;
Rodebrannt;Stadt_Karte;9.744351;35.628321;
Vallusa;Stadt_Karte;9.696629;32.955487;
Zwerch;Stadt;4.979572;30.058976;
Gallys;Stadt_Karte;5.153219;30.874104;
Rankaraliratena;Stadt;4.604850;30.259680;
Kannemünde;Stadt_Karte;3.886144;22.191423;
Selem;Stadt_Karte;1.704244;21.006695;
Wasserburg;Stadt;5.511816867837924;29.18495830924399;
Dergelmund;Stadt;6.378368923401245;29.04764315632614;
Eslamsgrund;Stadt_Karte;3.582115;29.057849;
Wandleth;Stadt_Karte;4.603685;29.498838;
Luring;Stadt;2.327411;29.450472;
Vierok;Stadt;3.887091;29.612732;
Weyring;Stadt;3.420768;29.775770;
Ackbar;Stadt;3.364531;29.428528;
Hartsteen;Stadt;4.377444;29.853124;
Syrrenholt;Stadt;3.182507;29.421742;
Al'Ahabad;Stadt_Karte;6.540881;24.942215;
Anchopal;Stadt_Karte;6.124600;25.496454;
Chalukand;Stadt;7.249088842737075;26.28809448906125;
Ronishagen;Stadt;5.822392019965401;22.24131636148199;
Temphis;Stadt;6.623177081024827;24.68130355638562;
Greifenfurt;Stadt_Karte;2.272807;31.323709;
Eslamsroden;Stadt;2.957683;31.263528;
Paavi;Stadt_Karte;11.518157;39.682564;
Sewamund;Stadt_Karte;-1.122312;26.058687;
Ruthor;Stadt;-1.185481;25.996593;
Unterfels;Stadt;-.355698;26.360254;
Drôl;Stadt_Karte;-.553654;22.720494;
Pertakis;Stadt_Karte;-1.184095;25.445528;
Sibur;Stadt_Karte;-.450343;25.192522;
Shumir;Stadt;-.846683;25.798858;
Bethana;Stadt;-1.742963;25.594760;
Bomed;Stadt_Karte;-.462404;26.068240;
Veliris;Stadt;-.830041;26.254939;
Chetoba;Stadt;-.605774;24.194062;
Perainidal;Stadt;-.945600;25.654321;
Horasia;Stadt_Karte;-1.630010;25.511403;
Schradok;Stadt;-.510682;26.847978;
Arinken;Stadt_Karte;-1.195482;25.671580;
Efferdas;Stadt_Karte;-1.295511;24.598605;
Urbet;Stadt;-.796638;24.916108;
Westenende;Stadt;-1.850258;25.175824;
Nevorten;Stadt;-1.548148;25.830916;
Wobran;Stadt;-.354015;23.151604;
Thegûn;Stadt_Karte;-.297580;24.082534;
Shenilo;Stadt_Karte;-1.390721;25.496378;
Oberfels;Stadt_Karte;-.215985;26.467410;
Terubis;Stadt;-1.416759;24.882234;
Nervuk;Stadt;-1.357855;26.316097;
Venga;Stadt;-1.023651;26.564654;
Marudret;Stadt;-.446738;24.949134;
Radoleth;Stadt;-.354254;25.367881;
Selshed;Stadt;-1.477957;26.010981;
Clameth;Stadt;-1.179372;25.384579;
Aldyra;Stadt;-.868434;25.564070;
Sorbik;Stadt;-1.297238;24.921902;
Marvinko;Stadt;-.697883;25.000870;
Ankram;Stadt;-.716324;24.756184;
Arenkis;Stadt;-.538105;24.286944;
Despiona;Stadt;-.639487;24.055022;
Eldoret;Stadt;-.462131;23.917760;
Toricum;Stadt_Karte;-1.052169;24.544536;
Malur;Stadt;-.785977;24.309618;
Morbal;Stadt;-.319211;22.296350;
Onjaro;Stadt;-.444818;24.703463;
Farsid;Stadt;-1.106046;26.272092;
Urbasi;Stadt_Karte;-0.651360;25.081719;
Amhallah;Stadt_Karte;0.439021;26.372463;
El'Dhena;Stadt;4.56468197577014;22.25726089573437;
Oase Keft;Stadt_Karte;3.181912;23.552796;
Ferdok;Stadt_Karte;1.812698;29.515158;
Murolosch;Stadt-X;2.171955;28.293767;
Sinoda;Stadt_Karte;9.237206;22.308366;
Hemandu;Stadt;10.931892;27.357589;
Brabak;Stadt_Karte;-3.05309760572775;16.9053260879106;
Cuoris;Stadt;-0.7090932849198472;21.96764827858549;
Dujar;Stadt;-0.8329829376963416;22.08044399681453;
Aldenia;Stadt;-1.58940006574571;22.04471842051331;
Istina;Stadt;-0.6296470106147889;22.10377807404669;
Hôt-Elem;Kleinstadt_Karte;-0.181520663582645;16.4077126510459;
Hôt-Alem;Stadt_Karte;-0.181520663582645;16.4077126510459;
Lhasor;Stadt;-0.6463907369811661;21.39749224939252;
Ohzara;Stadt;-1.327105061754677;22.10063053098351;
Sylla;Stadt_Karte;1.50522950102093;17.1814593533932;
Benivilla;Stadt;-1.167709373512013;21.91272609361306;
Va'Ahak;Stadt;-1.014937238426567;18.52071249371775;
Chorhop;Stadt_Karte;-0.9255421364925032;20.62128644799358;
Mirham;Stadt_Karte;-0.7254827845720435;19.16373898098845;
Khefu;Stadt_Karte;-.938413934496266;16.4360840245026;
H'Rabaal;Stadt_Karte;-1.447365846983735;17.87685106672326;
Asboran;Stadt-X;4.49528812323;27.2669466263;
Erkenstein;Stadt;3.472772595695424;26.1596010896613;
Floeszern;Stadt;4.863007146340883;26.43626487517964;
Jindir;Stadt;5.318967431240265;26.18478824198816;
Simiador;Stadt_Karte;4.396810945380429;27.05613904858669;
Aiphanides;Stadt-X;-53.800720;8.957422;
Blacon;Stadt;-55.971188;8.637688;
Dhima;Stadt;-47.309981;0.939773;
Dvara;Stadt;-47.561693;0.604405;
Esthenion;Stadt;-52.340241;12.588273;
Eubatheon;Stadt;-56.673606;14.746441;
Minukreos;Stadt;-58.488873;14.151360;
Nesaquatul;Stadt;-48.045881;-10.928125;
Pallyos;Stadt;-57.215619;12.162504;
Prathna;Stadt;-47.872646;0.503629;
Salmessis;Stadt;-57.885089;11.614326;
Stadt am Tavala;Stadt;-58.485314;13.352704;
Stadt an der Goldküste;Stadt;-59.173756;10.636599;
Stadt an der Tavalabucht;Stadt;-58.858933;12.646974;
Stadt westlich von Colarba;Stadt;-58.759671;11.208798;
Albenhus;Stadt_Karte;.740771;28.374175;
Klippag;Stadt;-1.398119;27.739664;
Gratenfels;Stadt_Karte;.394639;29.852926;
Xorlosch;Stadt_Karte;-.490824;28.407683;
Twergenhausen;Stadt;.151386;28.204181;
Salza;Stadt_Karte;-3.94261527134262;31.26945663667764;
Salzerhaven;Stadt_Karte;-3.990722;31.277807;
Kharkush;Stadt;.394788;35.272018;
Ohort;Stadt_Karte;-.251043;35.273731;
Orrakhar;Stadt;.440163;34.508676;
Phexcaer;Stadt_Karte;-2.966182498952747;33.92578377181385;
Mitlaxal;Stadt_Rakshazar;57.41388979196947;25.25054546524669;
Uxmatl;Stadt_Rakshazar;58.57707090364128;26.39517632764032;
Izapatan;Stadt_Rakshazar;61.23283194170909;27.00468527717733;
Kamilinaxo;Stadt_Rakshazar;60.81812618294401;25.69094090315683;
Lubaantuna;Stadt_Rakshazar;56.18182722138189;27.67181037029197;
Ryssca;Stadt_Rakshazar;60.51513313059322;17.20515766743892;
Angankor;Stadt_Rakshazar;56.5590888261073;16.55899153166332;
Sseleuhan;Stadt_Rakshazar;55.79061071350992;12.95958536170854;
Jalkam;Stadt_Rakshazar;42.6709602615766;35.14146111155826;
An'Khoral;Stadt_Rakshazar;44.31668680952791;36.19223778759907;
Amhalashal;Stadt_Rakshazar;34.80799878677213;34.60760944053848;
Sumutul;Stadt_Rakshazar;21.62084505894437;47.40030863004584;
Gamkaltor;Stadt_Rakshazar;27.29430893714722;39.5541242724895;
Kurotan;Stadt_Rakshazar;47.15681381049026;39.38313795029025;
Xhulajambo;Stadt_Rakshazar;60.02847445011335;38.97336918301669;
Ronthar;Stadt_Rakshazar;38.80585304276789;46.45663391906053;
Altzoll;Stadt;6.48872975739452;30.2300565906041;
Eslamsbrück;Stadt;8.368338;31.350050;Eslamsbrück (historisch)
Eslamsbrück (historisch);Sonstige_Ruine;8.368338;31.350050;Eslamsbrück (historisch)
Eslamsbrück;Stadt;8.39641246291962;31.3457590938875;
Port Rulat;Stadt-X;10.71205765311741;30.3645105810604;
Shamaham;Stadt_Karte;9.19326096193372;30.065980159039;
Ysil'elah;Stadt;7.668101889337842;32.25806019632246;
Ysilia vor dem Ogerzug;Stadt;7.668101889337842;32.25806019632246;
Ysilia - eine Ruine;Sonstige_Ruine;7.668101889337842;32.25806019632246;Ysilia
Ysilia;Stadt_Karte;7.668101889337842;32.25806019632246;
Yol-Ghurmak;Grossstadt_Karte;7.668101889337842;32.25806019632246;
Ghurenia;Stadt-X;5.205361227251498;11.91834132430143;
Enqui;Stadt_Karte;.323369;36.710551;
Riva;Stadt_Karte;2.787594;37.447562;
Tiefhusen;Stadt_Karte;1.111669;34.983507;
Tjolmar;Stadt;.632865;35.672576;
Kendrar;Stadt;-4.243232696817055;31.58385196428124;
Muryt;Stadt;-4.90689159169941;34.8189792064388;
Niellyn;Stadt;-1.887044;37.232975;
Olport;Stadt_Karte;-5.00270639276965;35.7365519936722;
Prem;Stadt_Karte;-5.43087307626045;32.8424961877524;
Waskir;Stadt;-4.503621;34.747210;
Charypso;Stadt_Karte;1.74176913735501;17.0577295853277;
Altaïa;Stadt_Karte;2.20466691173159;16.63763522192707;
Altaïa;Sonstige_Ruine;2.20466691173159;16.63763522192707;
Baliho;Stadt_Karte;4.91916270125466;32.85225976359557;
Uhdenberg;Stadt_Karte;6.574091295734075;34.68711709888257;
Auen;Stadt_Karte;4.637120250654836;31.89476045852036;
Donnerbach;Stadt;4.572577096686034;34.61126827962677;
Perainefurten;Stadt_Karte;8.083472888096976;33.0283776012971;
Ilsur;Stadt_Karte;9.670277567350624;31.5019010763794;
Harben;Stadt_Karte;-1.723723899021863;26.90966879207946;
Kyndoch;Stadt_Karte;-1.702983;28.424559;
Rethis;Stadt_Karte;-1.703535;23.429080;
Teremon;Stadt_Karte;-3.798866;23.704326;
Garén;Stadt;-1.764634;23.552477;
Abilacht;Kleinstadt;-.963580;29.227378;
Bredenhag;Kleinstadt;-1.515784;29.651635;
Seshwick;Kleinstadt;-.873514;29.426079;
Orbatal;Kleinstadt;-2.074716;29.223345;
Bockshag;Kleinstadt;-2.020479;29.871670;
Agum;Kleinstadt;0.2167173606065331;27.46277802184993;
Artésa;Kleinstadt;1.445554594080754;27.09377369566362;
Bangour;Kleinstadt;1.344015231735845;27.40068779605862;
Boral;Kleinstadt;2.389835558589981;28.09785857652095;
Brindâl;Kleinstadt_Karte;0.6917436508818442;26.59882128155708;
Cres;Kleinstadt;2.51210703042797;27.72079582719702;
Dâl;Kleinstadt;0.1940188397631215;26.42558158872974;Dâl (Almada)
Endivarol;Kleinstadt;0.6920157594947463;26.96204359924191;
Franfeld;Kleinstadt;3.115566;28.376727;
Hundred;Kleinstadt;1.884777214030406;27.35434266116529;
Imdal;Kleinstadt;-0.9633143985398862;26.99407700907301;
Inostal;Kleinstadt;-0.04786902757911604;26.52196262218503;
Jassafheim;Kleinstadt;2.053151104694617;26.66503354115273;
Jurios;Kleinstadt;2.699814482473701;28.1182805543795;
Malkid;Kleinstadt;1.599170810861819;26.66703372325522;
Pildek;Kleinstadt;0.06489677636894342;26.93482127955467;
Pundred;Kleinstadt;2.21313589905368;27.75286560077344;
Quirod;Kleinstadt;2.60504411277779;27.22670907590577;
Ratzingen;Kleinstadt;1.608723071356812;26.9726670609234;
Rengor;Kleinstadt;0.7026654296917712;27.2353315693612;
Schlangentodt;Kleinstadt;2.793391752436303;27.152619515973;
Schrotenstein;Kleinstadt;2.944599980738334;27.610092299594;
Sherbeth;Kleinstadt;1.367510756642982;26.71077175061142;
Soroban;Kleinstadt;1.922398674420238;26.99475975105529;
Then;Kleinstadt;2.575602664987757;26.83653717014385;
Ukuban;Kleinstadt;2.285594105125637;26.68757254391752;
Valpokrug;Kleinstadt;2.766420394769991;28.01525956787878;
Yasamir;Kleinstadt;2.923407270860101;28.12854647910989;
Arbasim;Kleinstadt;2.656039809439779;26.91047581124698;
Neu-Süderwacht;Kleinstadt;-0.1929936590921866;26.5124874093799;
Dorgulawend;Kleinstadt;5.255327;26.978717;
Farukand;Kleinstadt;7.547300;27.443554;
Kunchabad;Kleinstadt;7.789967;26.734330;
Ras Nefidim;Kleinstadt;9.132902;27.592691;
Rathmos;Kleinstadt;8.641010;26.422487;
Revennis;Kleinstadt;5.943164;27.737326;
Yakshabar;Kleinstadt;5.587835;27.666708;
Birkholt;Kleinstadt;10.001544;34.556347;
Bjaldorn;Kleinstadt_Karte;10.484488;37.647382;
Brandthusen;Kleinstadt;10.782218;36.895353;
Eschenfurt;Kleinstadt;10.062572;35.998843;
Harden;Kleinstadt;9.169591;34.775844;
Irberod;Kleinstadt;8.343416;34.808646;
Kirschhausen;Kleinstadt;9.726456;34.609253;
Nivesel;Kleinstadt;9.875616;34.254957;
Pervin;Kleinstadt_Karte;9.712754;35.992435;
Plötzingen;Kleinstadt;10.777186;34.445003;
Rivilauken;Kleinstadt;10.894640;34.590240;
Salderkeim;Kleinstadt;9.287363;34.333079;
Schossko;Kleinstadt;8.846027;36.257204;
Schwertbergen;Kleinstadt;10.38753;34.337016;
Sirmgalvis;Kleinstadt;10.334907;34.623052;
Skorpsky;Kleinstadt;9.591741;33.134168;
Usnadamm;Kleinstadt;9.091853;32.976912;
Vierwinden;Kleinstadt;10.863579;36.321378;
Zweimühlen;Kleinstadt_Karte;4.607692;30.821965;
Friedwang;Kleinstadt;5.030044;31.112525;
Waldsend;Kleinstadt;4.092383;31.193342;
Dergelheim;Kleinstadt;4.186441;30.828637;
Ebnet;Kleinstadt-X;5.166739;29.909736;
Seeheim;Kleinstadt;5.084356;30.285408;
Rappenfluhe;Kleinstadt;5.098058;31.646026;
Ochsenried;Kleinstadt;4.877366;30.356435;
Oppstein;Kleinstadt;5.139805;31.362199;
Wutzenwald;Kleinstadt;4.759631;31.188982;
Moosbrunn;Kleinstadt;5.631362;30.805559;
Perz;Kleinstadt;3.966036;30.883728;
Helmdahl;Kleinstadt;3.981279;31.096525;
Drollenpfort;Kleinstadt;5.367607;30.878151;
Devensberg;Kleinstadt_Karte;5.741077;30.703791;
Nordenheim;Kleinstadt;5.033742;31.030368;
Krs-Zzah;Kleinstadt_Karte;4.019853761844092;20.43869150257182;
Raschid Ra'Ad;Dorf-X;1.88854704459736;21.14024208918172;
Kronling;Kleinstadt-X;3.794447;29.936011;
Wieha;Kleinstadt;3.659821;29.457778;
Hirschfurt;Kleinstadt;2.340831;30.003896;
Erlenstamm;Kleinstadt;4.318943;29.530401;
Puleth;Kleinstadt;3.871604;30.531283;
Randersburg;Kleinstadt;3.126773;29.861577;
Nattersquell;Kleinstadt;4.093434;29.804923;
Horeth;Kleinstadt;4.320068;30.604922;
Untergras;Kleinstadt;2.769461;29.569925;
Adziz;Kleinstadt;6.766489208572413;23.99140587026136;
Al'Rabat;Kleinstadt;7.12298827280067;25.32607335868621;
Birchaluk;Kleinstadt;6.653398113038895;25.54063437540427;
Borbra;Kleinstadt_Karte;5.634004705150309;24.96460409590981;
Brucken;Kleinstadt;6.633952091555544;23.38360134809647;
Challef;Kleinstadt;6.940277681622938;24.69719877215229;
Mhanerhaven;Kleinstadt;7.481527;25.328349;
Jaiban;Kleinstadt;6.967268482907285;24.90007232097392;
Khânuba;Kleinstadt;6.181031;24.227870;
Pelqanan;Kleinstadt;8.044189;26.037210;
Shariwan;Kleinstadt;7.887204;25.796751;
Gerasim;Kleinstadt_Karte;6.145545;36.999319;
Gashok;Kleinstadt_Karte;2.954701;34.445396;
Oblarasim;Kleinstadt;6.232237;37.942922;
Kvirasim;Kleinstadt;3.782396;36.448726;
Eestiva;Kleinstadt_Karte;10.744411;39.071021;
Glyndhaven;Kleinstadt_Karte;5.306366;41.533560;
Oberbomed;Kleinstadt;-.413453;26.063075;
Mhoremis;Kleinstadt;-1.805053;25.454761;
Ramaúd;Kleinstadt;-1.746337;25.110973;
Salikum;Kleinstadt;-1.460982;25.006068;
Schelf;Kleinstadt;-1.543038;25.272819;
Kabash;Kleinstadt;-.131028;24.175718;
Vhelwán;Kleinstadt;-.550027;23.075362;
Côntris;Kleinstadt;-1.306072;25.438815;
Cophirya;Kleinstadt;-.225152;25.579409;
Gravina;Kleinstadt;.245918;23.026596;
Estoria;Kleinstadt;-.450055;25.958863;
Letran;Kleinstadt;-1.119347;24.715286;
Tovenkis;Kleinstadt;-.488192;24.216105;
Karsina;Kleinstadt;-.658626;23.914462;
Gebein;Kleinstadt;-.432548;24.060443;
Valavet;Kleinstadt;-.513595;23.782511;
Brelak;Kleinstadt;-.224937;23.571480;
Kusmarina;Kleinstadt-X;-1.623252;25.085429;
Illstan;Kleinstadt;-.859783;25.624820;
Westfar;Kleinstadt;-1.351614;25.180792;
Centrano;Kleinstadt;-.496578;25.491190;
Olbris;Kleinstadt;-.552735;24.369251;
Torvilio;Kleinstadt;-.761309;24.574256;
Al'Mharim;Kleinstadt;1.542716765420267;26.12529962693152;
Ferchaba;Kleinstadt_Karte;1.387194247188708;26.2953039641187;
Machsiz;Kleinstadt;2.490156009901643;22.14478168536189;
Malkillabad;Kleinstadt;2.459080427756697;21.76293574267386;
Oase Birscha;Kleinstadt_Karte;2.321470363742033;23.81195706825061;Birscha
Oase El'Ankhra;Kleinstadt;1.930896519771914;25.50285810785643;El'Ankhra
Oase El'Karram;Kleinstadt;4.168886315009912;24.56601232170351;El'Karram
Oase Kireh;Kleinstadt;3.041717797510828;24.89189836886051;Kireh
Oase Shebah;Kleinstadt;1.767243370810869;24.205446806721;Shebah
Oase Terekh;Kleinstadt;1.27018473606771;24.78827947940174;Terekh
Vishia;Kleinstadt;0.916205544527624;21.96120719556731;
Koschtal;Kleinstadt;1.095126;29.226659;
Eisenhuett;Kleinstadt;1.918934;28.251936;Eisenhuett (Kosch)
Nadoret;Kleinstadt_Karte;1.647933;29.206767;
Rhondur;Kleinstadt;1.296843;29.309111;
Salmingen;Kleinstadt;2.200646;29.222353;
Steinbrücken;Kleinstadt;1.698418;30.039528;
Bragahn;Kleinstadt;1.761176;28.592868;
Rohalssteg;Kleinstadt;1.354724;29.476893;
Wallerheim;Kleinstadt-X;1.681852;29.363673;
Uztrutz;Kleinstadt;1.507916;28.560914;
Drift;Kleinstadt;1.357254;28.439972;
Alrurdan;Kleinstadt;9.127846;24.640683;
Praiosdank;Kleinstadt;8.284307;21.783858;
Port Corrad;Kleinstadt_Karte;.798609235852079;21.165078628578;
Sylphur;Kleinstadt;-2.084269580799447;17.51308557554848;
Patras;Kleinstadt;-0.3955858975528337;18.57994225262915;
Vinay;Kleinstadt;-1.836687497449447;16.79344921439532;
Yar'dasham;Kleinstadt;1.250343921610027;16.40397949728617;
Port Visar;Kleinstadt;0.1414002686439742;18.50653112608722;
Lorfas;Kleinstadt;-0.05181695051150403;21.74693170861976;
El'Halem;Kleinstadt;-0.7716873328250107;21.83689366269269;
Awallakand;Kleinstadt;5.032618;26.625051;
Selicum;Kleinstadt;3.59665538582171;25.90729283314422;
Sumnea Velkaris;Kleinstadt-X;-47.518342;10.839944;
Nummath;Kleinstadt;.281106;28.967367;
Kefberg;Kleinstadt;-0.028849;29.911270;
Alborath;Kleinstadt;-0.621907;27.560219;
Joborn;Kleinstadt_Karte;-1.966302493336189;31.88746936818142;
Eichhafen;Kleinstadt_Karte;-1.480502858530349;32.22958323918036;
Andrafall;Kleinstadt_Karte;-1.042874338835954;32.25825515277123;
Teshkal;Kleinstadt;0.1857695065096054;32.51350733668039;
Trontsand;Kleinstadt;-3.490960209008447;30.63521496785929;
Lyckmoor;Kleinstadt;-3.479075567573618;31.46523975781573;
